datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2018-04-18,1.1106053195,1.0845015987,0.6048930018,0.9869408013,0.5275451419,0.8165553737
2018-04-19,1.1880458748,1.3041877968,0.6717158799,1.0800094775,0.8872303364,0.8456653355
2018-04-20,1.3522288178,1.4145220372,1.1398966759,1.3167654425,1.3187682697,0.9896129627
2018-04-21,1.5315786037,1.4739965997,0.8122055736,1.2838633444,1.1461750196,1.0254173153
2018-04-22,1.4946701287,1.5668488629,0.4287413625,1.2132971603,1.0105893401,0.9686365491
2018-04-23,1.5510041169,1.71908277,2.5093146041,1.4717939392,0.9818687883,1.0595114113
2018-04-24,1.6339361154,1.7089015426,1.9237746772,1.4376323733,1.8521028883,1.1054972699
2018-04-25,1.8717492246,1.4132145392,1.8496561423,1.1997548822,2.3139925663,1.1345491346
2018-04-26,1.539348809,1.3768501683,1.1025293107,1.0979179108,1.4167418119,1.028389893
2018-04-27,1.703830606,1.2771617485,1.3044863693,1.0807591608,1.1357396733,1.0805465856
2018-04-28,1.6386057099,1.295274245,0.9205770569,1.0950391272,1.0618481298,1.1088374988
2018-04-29,1.7852683343,1.1270384217,0.9282675648,0.9918527259,1.2394587426,1.144174665
2018-04-30,1.8071220366,1.3949759389,1.2357488395,1.2077015246,1.3214117342,1.1442386163
2018-05-01,1.7350234973,1.1744866583,1.1029139488,1.0478210779,1.1946011264,1.1207233865
2018-05-02,1.748546643,1.4136658583,1.7650205065,1.2819381578,1.2989609283,1.1729922728
2018-05-03,1.7952799449,1.6270203152,1.9877248915,1.4637933197,2.3102057755,1.1835851772
2018-05-04,2.132200528,3.2999406693,2.092176722,3.043759746,1.8168210265,1.3758509538
2018-05-05,2.1613387977,1.6468518065,1.2372664779,1.4443495351,1.453902435,1.4013612919
2018-05-06,2.2790499361,1.4989054306,1.0582033906,1.2102864324,1.5052631975,1.4683897587
2018-05-07,2.194063316,1.6965500014,3.4074041108,1.2236187992,2.3867991335,1.4469390933
2018-05-08,2.05087487,1.6882935171,1.5960061131,1.3170413259,1.370485844,1.3880761607
2018-05-09,2.0429925945,1.6060937115,1.8738997584,1.3588856457,1.3394495576,1.4261907253
2018-05-10,2.0417971783,1.6129696904,1.5996164943,1.3059999911,1.2455685384,1.3951931036
2018-05-11,1.946275953,1.5922421981,1.5453854118,1.372289982,1.6396253891,1.3821483052
2018-05-12,1.7702135616,1.5310154556,0.8715631332,1.1544860094,1.1869693811,1.3899696836
2018-05-13,1.7974466368,1.3907746892,0.5235680963,1.1468572328,0.9641514244,1.3951647329
2018-05-14,1.9676440175,1.6473363108,1.8755763633,1.4257154085,1.432107089,1.5085582048
2018-05-15,1.9617042932,1.6833688295,1.3314640449,1.2289805337,1.0810801728,1.5050138044
2018-05-16,1.8755969705,1.7490224812,1.0148467393,1.2221014403,1.0468980146,1.4807429885
